0,,チェックをいれてクリック,チェックをいれてクリック.1,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
10,9.0,,,AcerChromebook 314 CB314-1H-A14N,"¥26,204",10店舗,229位,3.00(1票),25件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,14型(インチ),LEDバックライト,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：32GB,,無し,,Intel UHD Graphics 600,,1.4kg,323x16.95x232mm,デューシルバー,12時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth5.0日本語キーボード,,,,,,2020年10月9日,2020年 8月25日
11,10.0,,,ASUSR417YA R417YA-GA044T,"¥27,000",9店舗,135位,0.00(0票),9件,AMD E2-70151.5GHz,,14型(インチ),,FWXGA (1366x768),,,○,グレア(光沢),Windows 10 Home(Sモード) 64bit,WPS Office Standard Edition,4GB,DDR3L PC3L-10600,,eMMC：64GB,,無し,,AMD Radeon R2 Graphics,メインメモリと共有,1.68kg,339x21.9x235mm,ブルー,6時間,HDMIx1USB3.1 Gen1(USB3.0) Type-Ax1/Type-Cx1SDスロット,IEEE802.11a/b/g/n/ac,,,10/100/1000Mbps,,,,,,,WebカメラBluetooth4.1日本語キーボード,,,,,,2020年 6月25日,2020年 6月25日
12,11.0,,,サイエルインターナショナルM-WORKS MW-HDW8000,"¥27,480",13店舗,1024位,0.00(0票),0件,インテル Celeron Dual-Core N3350(Apollo Lake)1.1GHz/2コア,1146,8.9型(インチ),,2048x1536,○,セパレート,,,Windows 10 Home 64bit,Office無し,4GB,DDR3L,,eMMC：64GB,,無し,,,,0.97kg,,ブラック系,,microHDMIx1USB3.1 Gen1(USB3.0)x1USB Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,,,,Webカメラ日本語キーボード,,,,,,2021年 4月中旬,2021年 5月7日
13,12.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU種類,CPU種類,画面,画面,画面,画面,画面,画面,画面,OS,Office詳細,メモリ,メモリ,メモリ,ストレージ,ストレージ,ドライブ有無,ドライブ規格,グラフィック,グラフィック,サイズ･重量,サイズ･重量,カラー,駆動時間,インターフェース,ネットワーク,ネットワーク,ネットワーク,ネットワーク,ネットワーク,その他,その他,その他,その他,その他,その他,セキュリティ,セキュリティ,地上デジタルチューナー,エコマーク,エコマーク,発売日,登録日
14,13.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
15,14.0,,,ドスパラVF-AD4 Windows 10 Pro/Celeron N4000/14インチ フルHD非光沢ワイド/メモリ4GB/eMMC 64GB K/09479-10a,"¥27,980",1店舗,150位,4.83(6票),9件,インテル Celeron N4000(Gemini Lake)1.1GHz/2コア,1406,14型(インチ),液晶,フルHD (1920x1080),,,○,ノングレア(非光沢),Windows 10 Pro 64bit,,4GB,LPDDR4,,eMMC：64GB,,無し,,Intel UHD Graphics 600,,1.28kg,332.5x14x222mm,シルバー,8.6時間,microHDMIx1USB3.2 Gen1 Type-Ax1/Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth5.0日本語キーボード,指紋認証,,,,,2020年 8月31日,2020年 8月31日
16,15.0,,,AcerChromebook Spin 311 CP311-3H-A14N/E,"¥28,909",5店舗,365位,4.30(3票),0件,M8183C2GHz,,11.6型(インチ),IPSパネル,FWXGA (1366x768),○,コンバーチブル,○,グレア(光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：32GB,,無し,,Mali-G72 MP3,,1.05kg,290x18.8x206mm,ピュアシルバー,15時間,USB3.1 Gen1(USB3.0) Type-Cx1,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.0英語(US)キーボード,,,,,,2020年10月9日,2020年11月6日
17,16.0,,,TSUKUMOeX.computer note TSNB14UP1シリーズ 英語キーボード・OSモデル TSNB14UP1BK/US/M,"¥29,980",1店舗,832位,0.00(0票),0件,インテル Celeron 3867U(Kaby Lake Refresh)1.8GHz/2コア,1470,14.1型(インチ),,フルHD (1920x1080),,,○,ノングレア(非光沢),Windows 10 Pro 64bit 英語版,Office無し,4GB,LPDDR3 PC3-15000,,M.2 SSD：64GB,,無し,,Intel HD Graphics 610,メインメモリからシェア,1.5kg,332.5x21.8x223.5mm,ブラック系,7.5時間,miniHDMIx1USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.2英語(US)キーボード,,,,,,2020年 3月2日,2020年 3月2日
18,17.0,,,AcerChromebook Spin 311 CP311-3H-A14N,"¥31,320",11店舗,506位,4.50(2票),0件,M8183C2GHz,,11.6型(インチ),IPSパネル,FWXGA (1366x768),○,コンバーチブル,○,グレア(光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：32GB,,無し,,Mali-G72 MP3,,1.05kg,290x18.8x206mm,ピュアシルバー,15時間,USB3.1 Gen1(USB3.0) Type-Cx1,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.0日本語キーボード,,,,,,2020年10月9日,2020年 8月25日
19,18.0,,,LenovoIdeaPad Slim 350 Chromebook Chrome OS・AMD A4 9120C・4GBメモリー・32GB eMMC・11.6型HD液晶搭載 82H40002JP,"¥31,680",1店舗,1299位,3.00(1票),0件,AMD A4-9120C1.6GHz/2コア,810,11.6型(インチ),TN液晶,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,DDR4 PC4-14900,0(0),eMMC：32GB,,無し,,AMD Radeon R4 Graphics,メインメモリと共有,1.12kg,286.7x18.1x205.5mm,オニキスブラック,10時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2021年 7月8日,2021年 7月8日
20,19.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU種類,CPU種類,画面,画面,画面,画面,画面,画面,画面,OS,Office詳細,メモリ,メモリ,メモリ,ストレージ,ストレージ,ドライブ有無,ドライブ規格,グラフィック,グラフィック,サイズ･重量,サイズ･重量,カラー,駆動時間,インターフェース,ネットワーク,ネットワーク,ネットワーク,ネットワーク,ネットワーク,その他,その他,その他,その他,その他,その他,セキュリティ,セキュリティ,地上デジタルチューナー,エコマーク,エコマーク,発売日,登録日
21,20.0,チェックをいれてクリック,チェックをいれてクリック,製品名,価格,取扱店舗数,ランキング,満足度,クチコミ,CPU,CPUスコア,画面サイズ,画面種類,解像度,タッチパネル,2in1タイプ,ワイド画面,表面処理,OS,Office詳細,メモリ容量,メモリ規格,メモリスロット（空き）,ストレージ容量,HDD回転数,ドライブ有無,ドライブ規格,ビデオチップ,ビデオメモリ,重量,幅x高さx奥行,カラー,駆動時間,インターフェース,無線LAN,Wi-Fi Direct対応,NFC,LAN,SIMカード,インテル Evoプラットフォーム,ゲーミングPC,USB PD,ファンレス,BTO対応,その他,生体認証,センサー,地上デジタルチューナー,エコマーク,認定番号,発売日,登録日
22,21.0,,,AcerChromebook 314 CB314-1H-A14P,"¥32,339",2店舗,1097位,4.00(1票),0件,インテル Celeron N4020(Gemini Lake Refresh)1.1GHz/2コア,1589,14型(インチ),LEDバックライト,FWXGA (1366x768),,,○,ノングレア(非光沢),Chrome OS,Office無し,4GB,LPDDR4,0(0),eMMC：64GB,,無し,,Intel UHD Graphics 600,,1.4kg,323x16.95x232mm,デューシルバー,12時間,USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx2microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth5.0日本語キーボード,,,,,,2020年10月9日,2020年11月6日
23,22.0,,,"TSUKUMOeX.computer note N1400Lシリーズ N1400L100T/PRO  eX.computer note N1400Lシリーズ N1400L100T/PROの色を選択(全2件)¥32,780TSUKUMOeX.computer note N1400Lシリーズ N1400L100T/PRO/BK [ブラック]¥32,780TSUKUMOeX.computer note N1400Lシリーズ N1400L100T/PRO/WH [ホワイト]閉じる","¥32,780",1店舗,691位,3.50(2票),0件,インテル Celeron 5205U(Comet Lake)1.9GHz/2コア,1368,14.1型(インチ),IPS液晶ディスプレイ,フルHD (1920x1080),,,○,ノングレア(非光沢),Windows 10 Pro 64bit,Office無し,4GB,DDR4 PC4-19200,1(0),M.2 SSD：64GB,,無し,,Intel UHD Graphics,メインメモリからシェア,1.5kg,332.5x21.8x223.5mm,,,miniHDMIx1USB3.1 Gen1(USB3.0) Type-Ax2/Type-Cx1microSDスロット,IEEE802.11a/b/g/n/ac,,,,,,,○,,,WebカメラBluetooth4.2日本語キーボード,,,,,,2021年 1月14日,2021年 1月14日
24,23.0,,"¥32,780TSUKUMO",,eX.computer note N1400Lシリーズ N1400L100T/PRO/BK [ブラック],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24.0,,"¥32,780TSUKUMO",,eX.computer note N1400Lシリーズ N1400L100T/PRO/WH [ホワイト],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
